    2    3 0.12113D+01 0.78868D+00 0.21132D+00 0.10000D+02 0.44409D-15 0.00000D+00-0.33204D-16-0.55362D-15 0.33204D-16
    2    4 0.17887D+01 0.78868D+00 0.21132D+00 0.10000D+02 0.44409D-15-0.44409D-15-0.49580D-15-0.14210D-14 0.68886D-15
    2    5 0.12113D+01 0.21132D+00 0.78868D+00 0.10000D+02 0.13323D-14 0.44409D-15-0.55362D-15 0.14702D-14 0.48795D-15
    2    6 0.17887D+01 0.21132D+00 0.78868D+00 0.10000D+02 0.22204D-14 0.00000D+00 0.19809D-15 0.25592D-15-0.82445D-16
    2    7 0.12113D+01 0.78868D+00 0.78868D+00 0.10000D+02 0.13323D-14 0.88818D-15 0.20594D-15-0.71924D-15 0.71924D-15
    2    8 0.17887D+01 0.78868D+00 0.78868D+00 0.10000D+02 0.22204D-14 0.00000D+00 0.78418D-15-0.12975D-14 0.32232D-15
                             n_steps    3
 time   3.0000000000000000     
 lmn,node,x1,x2,x3,u1,u2,u3
    1    1 0.00000D+00 0.00000D+00 0.00000D+00 0.00000D+00 0.00000D+00 0.00000D+00
    1    2 0.11500D+01 0.00000D+00 0.87585D-17 0.15000D+00 0.00000D+00 0.87585D-17
    1    3 0.11500D+01 0.92500D+00 0.45031D-17 0.15000D+00-0.75000D-01 0.45031D-17
    1    4 0.00000D+00 0.92500D+00 0.96256D-17 0.00000D+00-0.75000D-01 0.96256D-17
    1    5 0.00000D+00 0.00000D+00 0.92500D+00 0.00000D+00 0.00000D+00-0.75000D-01
    1    6 0.11500D+01 0.00000D+00 0.92500D+00 0.15000D+00 0.00000D+00-0.75000D-01
    1    7 0.11500D+01 0.92500D+00 0.92500D+00 0.15000D+00-0.75000D-01-0.75000D-01
    1    8 0.00000D+00 0.92500D+00 0.92500D+00 0.00000D+00-0.75000D-01-0.75000D-01
 lmn,kint,x1,x2,x3,s11,s22,s33,s12,s13,s23
    1    1 0.21132D+00 0.21132D+00 0.21132D+00 0.15000D+02-0.88818D-15 0.26645D-14 0.30593D-15-0.76379D-15-0.61516D-15
